Date,Year,Time,Teams,Venue,Match Type,Result
08/04/2011,2011,8pm,Chennai Super Kings vs Kolkata Knight Riders,Chennai,League,
08/04/2011,2011,4pm,Deccan Chargers vs Rajasthan Royals,Hyderabad,League,
09/04/2011,2011,8pm,Team Kochi vs Royal Challengers Bangalore,Kochi,League,
09/04/2011,2011,4pm,Delhi Daredevils vs Mumbai Indians,Delhi,League,
10/04/2011,2011,8pm,Pune Warriors vs Kings XI Punjab,Navi Mumbai,League,
11/04/2011,2011,8pm,Kolkata Knight Riders vs Deccan Chargers,Kolkata,League,
11/04/2011,2011,4pm,Royal Challengers Bangalore vs Delhi Daredevils,Jaipur,League,
12/04/2011,2011,8pm,Mumbai Indians vs Team Kochi,Bangalore,League,
12/04/2011,2011,4pm,Kings XI Punjab vs Chennai Super Kings,Navi Mumbai,League,
13/04/2011,2011,8pm,Deccan Chargers vs Royal Challengers Bangalore,Hyderabad,League,
14/04/2011,2011,8pm,Mumbai Indians vs Team Kochi,Mumbai,League,
14/04/2011,2011,4pm,Kings XI Punjab vs Chennai Super Kings,Mohali,League,
15/04/2011,2011,8pm,Delhi Daredevils vs Kolkata Knight Riders,Delhi,League,
16/04/2011,2011,8pm,Chennai Super Kings vs Royal Challengers Bangalore,Chennai,League,
16/04/2011,2011,4pm,Deccan Chargers vs Rajasthan Royals,Hyderabad,League,
17/04/2011,2011,8pm,Rajasthan Royals vs Kolkata Knight Riders,Jaipur,League,
18/04/2011,2011,8pm,Royal Challengers Bangalore vs Delhi Daredevils,Navi Mumbai,League,
18/04/2011,2011,4pm,Team Kochi vs Chennai Super Kings,Kochi,League,
19/04/2011,2011,8pm,Pune Warriors vs Deccan Chargers,Bangalore,League,
19/04/2011,2011,4pm,Mumbai Indians vs Rajasthan Royals,Mumbai,League,
20/04/2011,2011,8pm,Kolkata Knight Riders vs Pune Warriors,Kolkata,League,
21/04/2011,2011,8pm,Kings XI Punjab vs Team Kochi,Mohali,League,
22/04/2011,2011,8pm,Delhi Daredevils vs Rajasthan Royals,Delhi,League,
22/04/2011,2011,4pm,Royal Challengers Bangalore vs Chennai Super Kings,Hyderabad,League,
23/04/2011,2011,8pm,Mumbai Indians vs Kings XI Punjab,Jaipur,League,
24/04/2011,2011,8pm,Kolkata Knight Riders vs Team Kochi,Chennai,League,
24/04/2011,2011,4pm,Delhi Daredevils vs Pune Warriors,Delhi,League,
25/04/2011,2011,8pm,Rajasthan Royals vs Royal Challengers Bangalore,Navi Mumbai,League,
